Day Month Year Close
1 10 2021 142.649994
4 10 2021 139.139999
5 10 2021 141.110001
6 10 2021 142
7 10 2021 143.289993
8 10 2021 142.899994
11 10 2021 142.809998
12 10 2021 141.509995
13 10 2021 140.910004
14 10 2021 143.759995
15 10 2021 144.839996
18 10 2021 146.550003
19 10 2021 148.759995
20 10 2021 149.259995
21 10 2021 149.479996
22 10 2021 148.690002
25 10 2021 148.639999
26 10 2021 149.320007
27 10 2021 148.850006
28 10 2021 152.570007
29 10 2021 149.800003
1 11 2021 148.960007
2 11 2021 150.020004
3 11 2021 151.490005
4 11 2021 150.960007
5 11 2021 151.279999
8 11 2021 150.440002
9 11 2021 150.809998
10 11 2021 147.919998
11 11 2021 147.869995
12 11 2021 149.990005
15 11 2021 150
16 11 2021 151
17 11 2021 153.490005
18 11 2021 157.869995
19 11 2021 160.550003
22 11 2021 161.020004
23 11 2021 161.410004
24 11 2021 161.940002
26 11 2021 156.809998
29 11 2021 160.240005
30 11 2021 165.300003
1 12 2021 164.770004
2 12 2021 163.759995
3 12 2021 161.839996
6 12 2021 165.320007
7 12 2021 171.179993
8 12 2021 175.080002
9 12 2021 174.559998
10 12 2021 179.449997
13 12 2021 175.740005
14 12 2021 174.330002
15 12 2021 179.300003
16 12 2021 172.259995
17 12 2021 171.139999
20 12 2021 169.75
21 12 2021 172.990005
22 12 2021 175.639999
23 12 2021 176.279999
27 12 2021 180.330002
28 12 2021 179.289993
29 12 2021 179.380005
30 12 2021 178.199997
3 1 2022 182.009995
4 1 2022 179.699997
5 1 2022 174.919998
6 1 2022 172
7 1 2022 172.169998
10 1 2022 172.190002
11 1 2022 175.080002
12 1 2022 175.529999
13 1 2022 172.190002
14 1 2022 173.070007
